age,fnlwgt,education,educationNum,married,race,sex,capitalGain,capitalLoss,hrPerWeek,income
39,77516,5,13,1,5,2,2174,0,40,1
50,83311,5,13,2,5,2,0,0,13,1
38,215646,2,9,1,5,2,0,0,40,1
53,234721,1,7,2,3,2,0,0,40,1
28,338409,5,13,2,3,1,0,0,40,1
37,284582,6,14,2,5,1,0,0,40,1
49,160187,1,5,2,3,1,0,0,16,1
52,209642,2,9,2,5,2,0,0,45,2
31,45781,6,14,1,5,1,14084,0,50,2
42,159449,5,13,2,5,2,5178,0,40,2
37,280464,3,10,2,3,2,0,0,80,2
30,141297,5,13,2,2,2,0,0,40,2
23,122272,5,13,1,5,1,0,0,30,1
32,205019,4,12,1,3,2,0,0,50,1
40,121772,4,11,2,2,2,0,0,40,2
34,245487,1,4,2,1,2,0,0,45,1
25,176756,2,9,1,5,2,0,0,35,1
32,186824,2,9,1,5,2,0,0,40,1
38,28887,1,7,2,5,2,0,0,50,1
43,292175,6,14,1,5,1,0,0,45,2
40,193524,8,16,2,5,2,0,0,60,2
54,302146,2,9,1,3,1,0,0,20,1
35,76845,1,5,2,3,2,0,0,40,1
43,117037,1,7,2,5,2,0,2042,40,1
59,109015,2,9,1,5,1,0,0,40,1
56,216851,5,13,2,5,2,0,0,40,2
19,168294,2,9,1,5,2,0,0,40,1
54,180211,3,10,2,2,2,0,0,60,2
39,367260,2,9,1,5,2,0,0,80,1
49,193366,2,9,2,5,2,0,0,40,1
23,190709,4,12,1,5,2,0,0,52,1
20,266015,3,10,1,3,2,0,0,44,1
45,386940,5,13,1,5,2,0,1408,40,1
30,59951,3,10,2,5,2,0,0,40,1
22,311512,3,10,2,3,2,0,0,15,1
48,242406,1,7,1,5,2,0,0,40,1
21,197200,3,10,1,5,2,0,0,40,1
19,544091,2,9,2,5,1,0,0,25,1
31,84154,3,10,2,5,2,0,0,38,2
48,265477,4,12,2,5,2,0,0,40,1
31,507875,1,5,2,5,2,0,0,43,1
53,88506,5,13,2,5,2,0,0,40,1
24,172987,5,13,2,5,2,0,0,50,1
49,94638,2,9,1,5,1,0,0,40,1
25,289980,2,9,1,5,2,0,0,35,1
57,337895,5,13,2,3,2,0,0,40,2
53,144361,2,9,2,5,2,0,0,38,1
44,128354,6,14,1,5,1,0,0,40,1
41,101603,4,11,2,5,2,0,0,40,1
29,271466,4,11,1,5,2,0,0,43,1
25,32275,3,10,2,4,1,0,0,40,1
18,226956,2,9,1,5,1,0,0,30,1
47,51835,7,15,2,5,1,0,1902,60,2
50,251585,5,13,1,5,2,0,0,55,2
47,109832,2,9,1,5,2,0,0,60,1
43,237993,3,10,2,5,2,0,0,40,2
46,216666,1,3,2,5,2,0,0,40,1
35,56352,4,11,2,5,2,0,0,40,1
41,147372,2,9,2,5,2,0,0,48,1
30,188146,2,9,2,5,2,5013,0,40,1
30,59496,5,13,2,5,2,2407,0,40,1
32,293936,1,4,2,5,2,0,0,40,1
48,149640,2,9,2,5,2,0,0,40,1
42,116632,8,16,2,5,2,0,0,45,2
29,105598,3,10,1,5,2,0,0,58,1
36,155537,2,9,2,5,2,0,0,40,1
28,183175,3,10,1,5,1,0,0,40,1
53,169846,2,9,2,5,1,0,0,40,2
49,191681,3,10,2,5,2,0,0,50,2
25,200681,3,10,1,5,2,0,0,40,1
19,101509,3,10,1,5,2,0,0,32,1
31,309974,5,13,1,3,1,0,0,40,1
29,162298,5,13,2,5,2,0,0,70,2
23,211678,3,10,1,5,2,0,0,40,1
79,124744,3,10,2,5,2,0,0,20,1
27,213921,2,9,1,5,2,0,0,40,1
40,32214,4,12,2,5,2,0,0,40,1
67,212759,1,6,2,5,2,0,0,2,1
18,309634,1,7,1,5,1,0,0,22,1
31,125927,1,4,2,5,2,0,0,40,1
18,446839,2,9,1,5,2,0,0,30,1
52,276515,5,13,2,5,2,0,0,40,1
46,51618,2,9,2,5,1,0,0,40,1
59,159937,2,9,2,5,2,0,0,48,1
44,343591,2,9,1,5,1,14344,0,40,2
53,346253,2,9,1,5,1,0,0,35,1
49,268234,2,9,2,5,2,0,0,40,2
33,202051,6,14,2,5,2,0,0,50,1
30,54334,1,5,1,5,2,0,0,40,1
43,410867,8,16,1,5,1,0,0,50,2
57,249977,4,11,2,5,2,0,0,40,1
37,286730,3,10,1,5,1,0,0,40,1
28,212563,3,10,1,3,1,0,0,25,1
30,117747,2,9,2,2,1,0,1573,35,1
34,226296,5,13,2,5,2,0,0,40,2
29,115585,3,10,1,5,2,0,0,50,1
48,191277,8,16,2,5,2,0,1902,60,2
37,202683,3,10,2,5,2,0,0,48,2
48,171095,4,12,1,5,1,0,0,40,1
32,249409,2,9,1,3,2,0,0,40,1
76,124191,6,14,2,5,2,0,0,40,2
44,198282,5,13,2,5,2,15024,0,60,2
47,149116,6,14,1,5,1,0,0,50,1
20,188300,3,10,1,5,1,0,0,40,1
29,103432,2,9,1,5,2,0,0,40,1
32,317660,2,9,2,5,2,7688,0,40,2
17,304873,1,6,1,5,1,34095,0,32,1
30,194901,1,7,1,5,2,0,0,40,1
31,189265,2,9,1,5,1,0,0,40,1
42,124692,2,9,2,5,2,0,0,40,1
24,432376,5,13,1,5,2,0,0,40,1
38,65324,7,15,2,5,2,0,0,40,2
56,335605,2,9,2,5,2,0,1887,50,2
28,377869,3,10,2,5,1,4064,0,25,1
36,102864,2,9,1,5,1,0,0,40,1
53,95647,1,5,2,5,2,0,0,50,1
56,303090,3,10,2,5,2,0,0,50,1
49,197371,4,11,2,3,2,0,0,40,2
55,247552,3,10,2,5,2,0,0,56,1
22,102632,2,9,1,5,2,0,0,41,1
21,199915,3,10,1,5,1,0,0,40,1
40,118853,5,13,2,5,2,0,0,60,1
30,77143,5,13,1,3,2,0,0,40,1
29,267989,5,13,2,5,2,0,0,50,2
19,301606,3,10,1,3,2,0,0,35,1
47,287828,5,13,2,5,1,0,0,40,2
20,111697,3,10,1,5,1,0,1719,28,1
31,114937,4,12,2,5,2,0,0,40,2
35,129305,2,9,2,5,2,0,0,40,1
39,365739,3,10,1,5,2,0,0,40,1
28,69621,4,12,1,5,1,0,0,60,1
24,43323,2,9,1,5,1,0,1762,40,1
38,120985,2,9,2,5,2,4386,0,35,1
37,254202,5,13,2,5,2,0,0,50,1
46,146195,4,12,1,3,1,0,0,36,1
38,125933,6,14,2,5,2,0,0,40,2
43,56920,2,9,2,5,2,0,0,60,1
27,163127,4,11,2,5,1,0,0,35,1
20,34310,3,10,1,5,2,0,0,20,1
49,81973,3,10,2,2,2,0,0,40,2
61,66614,2,9,2,5,2,0,0,40,1
27,232782,3,10,1,5,1,0,0,40,1
19,316868,3,10,1,5,2,0,0,30,1
45,196584,4,11,1,5,1,0,1564,40,2
70,105376,3,10,1,5,2,0,0,40,1
31,185814,2,9,1,3,1,0,0,30,1
22,175374,3,10,2,5,2,0,0,24,1
36,108293,2,9,1,5,1,0,0,24,1
64,181232,1,7,2,5,2,0,2179,40,1
43,174662,3,10,1,5,1,0,0,40,1
47,186009,3,10,1,5,1,0,0,38,1
34,198183,2,9,1,5,1,0,0,40,1
33,163003,5,13,1,2,1,0,0,40,1
21,296158,2,9,1,5,2,0,0,35,1
52,252903,2,9,1,5,2,0,0,45,2
48,187715,2,9,2,5,2,0,0,46,1
23,214542,5,13,1,5,2,0,0,40,1
71,494223,3,10,1,3,2,0,1816,2,1
29,191535,2,9,1,5,2,0,0,60,1
42,228456,5,13,1,3,2,0,0,50,1
68,38317,1,2,1,5,1,0,0,20,1
