age,education,educationNum,married,race,sex,capitalGain,capitalLoss,hrPerWeek,income
39,bachelors,13,notMarried,White,Male,2174,0,40,<=50K
50,bachelors,13,married,White,Male,0,0,13,<=50K
38,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
53,nonHSgrad,7,married,Black,Male,0,0,40,<=50K
28,bachelors,13,married,Black,Female,0,0,40,<=50K
37,masters,14,married,White,Female,0,0,40,<=50K
49,nonHSgrad,5,married,Black,Female,0,0,16,<=50K
52,HSgrad,9,married,White,Male,0,0,45,>50K
31,masters,14,notMarried,White,Female,14084,0,50,>50K
42,bachelors,13,married,White,Male,5178,0,40,>50K
37,someCollege,10,married,Black,Male,0,0,80,>50K
30,bachelors,13,married,Asian-Pac-Islander,Male,0,0,40,>50K
23,bachelors,13,notMarried,White,Female,0,0,30,<=50K
32,assoc,12,notMarried,Black,Male,0,0,50,<=50K
40,assoc,11,married,Asian-Pac-Islander,Male,0,0,40,>50K
34,nonHSgrad,4,married,Amer-Indian-Eskimo,Male,0,0,45,<=50K
25,HSgrad,9,notMarried,White,Male,0,0,35,<=50K
32,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
38,nonHSgrad,7,married,White,Male,0,0,50,<=50K
43,masters,14,notMarried,White,Female,0,0,45,>50K
40,doctorate,16,married,White,Male,0,0,60,>50K
54,HSgrad,9,notMarried,Black,Female,0,0,20,<=50K
35,nonHSgrad,5,married,Black,Male,0,0,40,<=50K
43,nonHSgrad,7,married,White,Male,0,2042,40,<=50K
59,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
56,bachelors,13,married,White,Male,0,0,40,>50K
19,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
54,someCollege,10,married,Asian-Pac-Islander,Male,0,0,60,>50K
39,HSgrad,9,notMarried,White,Male,0,0,80,<=50K
49,HSgrad,9,married,White,Male,0,0,40,<=50K
23,assoc,12,notMarried,White,Male,0,0,52,<=50K
20,someCollege,10,notMarried,Black,Male,0,0,44,<=50K
45,bachelors,13,notMarried,White,Male,0,1408,40,<=50K
30,someCollege,10,married,White,Male,0,0,40,<=50K
22,someCollege,10,married,Black,Male,0,0,15,<=50K
48,nonHSgrad,7,notMarried,White,Male,0,0,40,<=50K
21,someCollege,10,notMarried,White,Male,0,0,40,<=50K
19,HSgrad,9,married,White,Female,0,0,25,<=50K
31,someCollege,10,married,White,Male,0,0,38,>50K
48,assoc,12,married,White,Male,0,0,40,<=50K
31,nonHSgrad,5,married,White,Male,0,0,43,<=50K
53,bachelors,13,married,White,Male,0,0,40,<=50K
24,bachelors,13,married,White,Male,0,0,50,<=50K
49,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
25,HSgrad,9,notMarried,White,Male,0,0,35,<=50K
57,bachelors,13,married,Black,Male,0,0,40,>50K
53,HSgrad,9,married,White,Male,0,0,38,<=50K
44,masters,14,notMarried,White,Female,0,0,40,<=50K
41,assoc,11,married,White,Male,0,0,40,<=50K
29,assoc,11,notMarried,White,Male,0,0,43,<=50K
25,someCollege,10,married,Other,Female,0,0,40,<=50K
18,HSgrad,9,notMarried,White,Female,0,0,30,<=50K
47,profSchool,15,married,White,Female,0,1902,60,>50K
50,bachelors,13,notMarried,White,Male,0,0,55,>50K
47,HSgrad,9,notMarried,White,Male,0,0,60,<=50K
43,someCollege,10,married,White,Male,0,0,40,>50K
46,nonHSgrad,3,married,White,Male,0,0,40,<=50K
35,assoc,11,married,White,Male,0,0,40,<=50K
41,HSgrad,9,married,White,Male,0,0,48,<=50K
30,HSgrad,9,married,White,Male,5013,0,40,<=50K
30,bachelors,13,married,White,Male,2407,0,40,<=50K
32,nonHSgrad,4,married,White,Male,0,0,40,<=50K
